,1,2,27,4,15,5,16,7,26,17,8,9,3,6,10,11,12,13,14,19,20,21,22,24,18,25,23,0,ST,P,B,VS,VD,VD’,ID,BL,S’,S,AS,RS,WS,IF,ES,W,E,AE,T,F,BE
64, , ,r26, , , ,r26, ,r26, , , , , , , ,s75, , , , , , , , , , , , , , , , , , , , , , , , , ,74, , , , , , 
65, , ,r39, , , ,r39, ,r39, , , , , , ,r39,r39, ,r39,s57,s58, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
66, , ,r40, , , ,r40, ,r40, , , , , , ,r40,r40, ,r40,s57,s58, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
67, , ,r41, , , ,r41, ,r41, , , , , , ,r41,r41, ,r41,s57,s58, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
68, , ,r42, , , ,r42, ,r42, , , , , , ,r42,r42, ,r42,s57,s58, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
69, , ,r43, , , ,r43, ,r43, , , , , , ,r43,r43, ,r43,s57,s58, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70, , ,r31, , , ,r31, ,r31, , , , , , ,r31,r31, ,r31,r31,r31,s59,r31,r31,r31,r31,r31, , , , , , , , , , , , , , , , , , , , , , 
71, , ,r32, , , ,r32, ,r32, , , , , , ,r32,r32, ,r32,r32,r32,s59,r32,r32,r32,r32,r32, , , , , , , , , , , , , , , , , , , , , , 
72, , ,r34, , , ,r34, ,r34, , , , , , ,r34,r34, ,r34,r34,r34,r34,r34,r34,r34,r34,r34, , , , , , , , , , , , , , , , , , , , , , 
73, , ,r28, , , ,r28, ,r28, , , , , , , ,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
74, , ,r25, , , ,r25, ,r25, , , , , , , ,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75, ,s21, , , , , ,s9, , ,s19,s20, , ,s22, , ,s23, , , , , , , , , , , , , , , , , ,18, ,76,15,13,14,16, ,17, , , , , 
76, , ,r27, , , ,r27, ,r27, , , , , , , ,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
